#         t          x          y          z         vx         vy         vz
      0.000     -1.950      3.060     -1.460      0.250      4.160     -0.440
      0.071     -1.790      3.120     -1.490     -1.080      7.940     -0.360
      0.143     -1.910      3.250     -1.570     -3.200      9.160     -0.930
      0.214     -2.250      3.490     -1.590     -2.640      8.040      0.070
      0.286     -2.440      3.710     -1.560     -4.520      8.120     -0.190
      0.357     -2.910      4.100     -1.530     -6.720      7.970      0.590
      0.429     -3.300      4.750     -1.620     -9.010     12.700     -2.310
      0.500     -3.650      5.460     -1.810     -4.840     10.990     -2.800
      0.571     -3.890      6.090     -2.000     -3.220      7.290     -1.920
      0.643     -3.990      6.620     -2.150     -5.100      4.450     -1.810
      0.714     -4.070      7.000     -2.220     -7.830      5.920     -0.890
      0.786     -4.480      7.520     -2.560     -8.570      9.390     -6.520
      0.857     -5.170      8.260     -3.190    -10.170      6.940     -9.650
      0.929     -5.960      9.110     -3.720    -11.820     11.000     -9.230
      1.000     -6.760      9.980     -4.330     -6.700     10.840     -7.740
      1.071     -7.080     11.000     -4.850     -4.180     11.030     -8.510
      1.143     -7.290     12.280     -5.680     -4.400     16.240    -10.650
      1.214     -7.690     13.340     -6.440     -7.590     14.270    -11.160
      1.286     -8.130     14.400     -7.190     -9.450     14.690    -10.920
      1.357     -8.990     15.450     -7.980    -12.280     17.180    -11.250
      1.429    -10.100     16.760     -8.920    -12.090     14.600    -13.510
      1.500    -10.920     18.170     -9.910    -13.450     22.400    -14.820
      1.571    -11.600     19.810    -10.950    -10.950     24.120    -15.710
      1.643    -12.270     21.480    -11.810    -13.930     25.680    -12.700
      1.714    -13.180     23.310    -12.770    -12.040     27.010    -14.230
      1.786    -14.130     25.020    -13.780    -14.790     24.950    -15.660
      1.857    -15.260     26.820    -14.850    -19.080     27.290    -15.180
      1.929    -16.700     29.200    -15.810    -24.520     29.940    -15.030
      2.000    -18.230     31.750    -16.940    -22.390     34.890    -15.280
      2.071    -19.790     34.370    -18.060    -21.890     39.640    -16.550
      2.143    -21.330     37.200    -19.220    -17.450     40.500    -15.540
      2.214    -22.660     40.180    -20.460    -18.550     39.040    -19.070
      2.286    -24.200     43.000    -21.860    -23.120     38.640    -19.190
      2.357    -25.950     45.960    -23.140    -24.590     44.020    -19.260
      2.429    -27.680     49.080    -24.480    -24.020     44.130    -19.480
      2.500    -29.460     52.180    -25.900    -24.630     49.940    -20.190
      2.571    -31.240     55.860    -27.400    -25.220     54.870    -21.940
      2.643    -33.140     59.720    -28.770    -26.190     54.500    -19.380
      2.714    -34.980     63.730    -30.290    -26.400     55.540    -22.130
      2.786    -36.860     67.760    -31.900    -28.230     58.000    -24.100
      2.857    -38.810     71.940    -33.610    -32.000     62.790    -23.880
