#         t          x          y          z         vx         vy         vz
      0.100    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.200   -101.056   -102.167   -118.023    -20.681    182.542    101.906
      0.300   -102.635    -83.467   -107.343    -10.910    191.447    111.706
      0.400   -103.102    -63.876    -95.616      1.569    200.384    122.820
      0.500   -102.139    -43.416    -82.705     17.703    208.818    135.412
      0.600    -99.316    -22.191    -68.459     38.747    215.672    149.503
      0.700    -94.072     -0.464    -52.749     66.136    218.880    164.694
      0.800    -85.727     21.224    -35.535    100.764    214.882    179.585
      0.900    -73.639     41.916    -17.002    140.996    198.942    191.074
      1.000    -57.583     60.286      2.296    180.118    168.472    194.889
      1.100    -38.157     75.133     21.481    208.407    128.459    188.819
      1.200    -16.639     85.987     39.707    221.957     88.617    175.699
      1.300      5.660     93.168     56.486    224.016     55.017    159.881
      1.400     27.831     97.358     71.693    219.405     28.784    144.247
      1.500     49.379     99.238     85.404    211.560      8.808    129.991
      1.600     70.078     99.358     97.773    202.412     -6.399    117.384
      1.700     89.846     98.134    108.959    192.949    -18.086    106.334
      1.800    108.675     95.871    119.108    183.643    -27.180     96.639
      1.900    126.593     92.795    128.344    174.707    -34.346     88.089
      2.000    143.639     89.075    136.773    166.223    -40.055     80.498
      2.100    159.861     84.839    144.484    158.208    -44.649     73.708
      2.200    175.304     80.188    151.549    150.646    -48.372     67.592
      2.300    190.012     75.199    158.031    143.510    -51.407     62.047
      2.400    204.025     69.935    163.982    136.767    -53.891     56.986
      2.500    217.383     64.444    169.449    130.382    -55.927     52.341
      2.600    230.118     58.768    174.468    124.323    -57.595     48.055
      2.700    242.262     52.940    179.075    118.559    -58.958     44.082
      2.800    253.843     46.989    183.299    113.064    -60.065     40.382
      2.900    264.887     40.938    187.164    107.813    -60.955     36.922
      3.000    275.417     34.807    190.694    102.782    -61.660     33.674
      3.100    285.454     28.614    193.908     97.953    -62.206     30.616
      3.200    295.017     22.373    196.825     93.308    -62.614     27.726
      3.300    304.124     16.097    199.461     88.830    -62.902     24.988
      3.400    312.791      9.798    201.829     84.506    -63.083     22.386
      3.500    321.032      3.485    203.944     80.322    -63.171     19.907
      3.600    328.861     -2.832    205.816     76.266    -63.175     17.540
      3.700    336.291     -9.146    207.457     72.329    -63.104     15.275
      3.800    343.333    -15.450    208.876     68.501    -62.966     13.103
      3.900    349.996    -21.737    210.082     64.773    -62.766     11.016
      4.000    356.292    -28.000    211.083     61.137    -62.510      9.007
      4.100    362.228    -34.236    211.887     57.587    -62.202      7.069
      4.200    367.813    -40.438    212.500     54.115    -61.847      5.198
      4.300    373.055    -46.603    212.930     50.715    -61.448      3.387
      4.400    377.960    -52.726    213.181     47.382    -61.007      1.633
      4.500    382.534    -58.802    213.259     44.111    -60.527     -0.068
      4.600    386.785    -64.829    213.170     40.896    -60.010     -1.721
      4.700    390.716    -70.803    212.917     37.734    -59.459     -3.329
      4.800    394.334    -76.719    212.506     34.620    -58.874     -4.895
      4.900    397.642    -82.576    211.940     31.550    -58.256     -6.422
      5.000    400.646    -88.369    211.223     28.521    -57.607     -7.913
      5.100    403.348    -94.096    210.359     25.529    -56.928     -9.370
      5.200    405.753    -99.753    209.351     22.570    -56.220    -10.794
      5.300    407.864   -105.338    208.202     19.643    -55.482    -12.190
      5.400    409.683   -110.848    206.914     16.742    -54.715    -13.557
      5.500    411.214   -116.280    205.491     13.867    -53.919    -14.898
      5.600    412.458   -121.631    203.936     11.014    -53.095    -16.216
      5.700    413.417   -126.897    202.249      8.180    -52.242    -17.510
      5.800    414.094   -132.078    200.435      5.362    -51.360    -18.783
      5.900    414.491   -137.168    198.494      2.559    -50.450    -20.037
