#         t          x          y          z         vx         vy         vz
      0.000   -377.180    611.080   -284.520     71.590    -73.360     52.610
      0.071   -371.610    605.820   -281.240     74.250    -78.450     56.260
      0.143   -366.280    600.320   -277.540     72.910    -77.610     54.140
      0.214   -360.960    594.850   -273.800     71.050    -78.650     55.520
      0.286   -355.890    589.550   -270.470     71.360    -81.620     52.530
      0.357   -350.920    583.910   -266.950     71.280    -83.460     50.100
      0.429   -346.220    578.300   -263.610     68.720    -81.530     45.180
      0.500   -341.610    572.560   -260.480     68.340    -82.380     42.160
      0.571   -336.950    566.680   -257.230     67.660    -81.950     41.690
      0.643   -332.160    560.690   -254.080     66.710    -84.710     43.280
      0.714   -327.940    554.710   -250.760     59.580    -82.880     42.510
      0.786   -324.100    548.830   -247.500     53.940    -80.620     42.440
      0.857   -320.550    543.170   -244.420     47.280    -75.780     40.480
      0.929   -317.350    537.830   -241.340     45.130    -70.560     37.350
      1.000   -314.160    532.740   -238.230     45.570    -68.470     41.780
      1.071   -311.140    527.920   -234.890     42.320    -63.290     45.680
      1.143   -307.760    523.190   -231.340     45.240    -61.070     47.260
      1.214   -304.390    518.590   -227.540     47.310    -61.080     52.660
      1.286   -300.760    513.990   -223.570     46.490    -59.900     57.580
      1.357   -297.140    509.620   -219.410     51.140    -59.760     58.560
      1.429   -293.330    505.150   -214.990     52.560    -60.870     61.930
      1.500   -289.130    500.590   -210.450     56.790    -61.410     62.560
      1.571   -284.890    496.040   -205.840     57.820    -62.050     63.330
      1.643   -280.420    491.620   -201.500     62.490    -64.150     65.500
      1.714   -275.640    486.980   -196.980     69.690    -68.000     66.760
      1.786   -270.370    482.040   -192.150     73.550    -69.500     68.920
      1.857   -264.960    477.100   -187.310     76.400    -72.760     71.000
      1.929   -259.380    472.050   -182.280     78.110    -72.750     73.550
      2.000   -253.770    466.790   -177.230     78.510    -74.530     73.830
      2.071   -248.080    461.390   -172.110     81.070    -79.160     74.760
      2.143   -242.260    455.790   -166.870     83.160    -81.980     76.930
      2.214   -236.330    450.150   -161.760     85.920    -82.560     74.000
      2.286   -230.180    444.370   -156.590     90.120    -83.960     71.480
      2.357   -223.630    438.330   -151.480     94.290    -89.220     72.200
      2.429   -217.310    431.840   -146.180     91.350    -92.950     71.850
      2.500   -211.060    425.300   -140.950     93.150    -95.730     73.160
      2.571   -204.620    418.500   -135.610     94.760    -97.210     73.430
      2.643   -198.090    411.610   -130.380     94.030    -97.710     73.020
      2.714   -191.340    404.490   -124.940     94.940    -99.760     72.720
