#         t          x          y          z         vx         vy         vz
     0.0000    71.5900   -73.3600    52.6100     0.0000     0.0000     0.0000
     5.0000    74.2500   -78.4500    56.2600     0.0000     0.0000     0.0000
    10.0000    72.9100   -77.6100    54.1400     0.0000     0.0000     0.0000
    15.0000    71.0500   -78.6500    55.5200     0.0000     0.0000     0.0000
    20.0000    71.3600   -81.6200    52.5300     0.0000     0.0000     0.0000
    25.0000    71.2800   -83.4600    50.1000     0.0000     0.0000     0.0000
    30.0000    68.7200   -81.5300    45.1800     0.0000     0.0000     0.0000
    35.0000    68.3400   -82.3800    42.1600     0.0000     0.0000     0.0000
    40.0000    67.6600   -81.9500    41.6900     0.0000     0.0000     0.0000
    45.0000    66.7100   -84.7100    43.2800     0.0000     0.0000     0.0000
    50.0000    59.5800   -82.8800    42.5100     0.0000     0.0000     0.0000
    55.0000    53.9400   -80.6200    42.4400     0.0000     0.0000     0.0000
    60.0000    47.2800   -75.7800    40.4800     0.0000     0.0000     0.0000
    65.0000    45.1300   -70.5600    37.3500     0.0000     0.0000     0.0000
    70.0000    45.5700   -68.4700    41.7800     0.0000     0.0000     0.0000
    75.0000    42.3200   -63.2900    45.6800     0.0000     0.0000     0.0000
    80.0000    45.2400   -61.0700    47.2600     0.0000     0.0000     0.0000
    85.0000    47.3100   -61.0800    52.6600     0.0000     0.0000     0.0000
    90.0000    46.4900   -59.9000    57.5800     0.0000     0.0000     0.0000
    95.0000    51.1400   -59.7600    58.5600     0.0000     0.0000     0.0000
   100.0000    52.5600   -60.8700    61.9300     0.0000     0.0000     0.0000
   105.0000    56.7900   -61.4100    62.5600     0.0000     0.0000     0.0000
   110.0000    57.8200   -62.0500    63.3300     0.0000     0.0000     0.0000
   115.0000    62.4900   -64.1500    65.5000     0.0000     0.0000     0.0000
   120.0000    69.6900   -68.0000    66.7600     0.0000     0.0000     0.0000
   125.0000    73.5500   -69.5000    68.9200     0.0000     0.0000     0.0000
   130.0000    76.4000   -72.7600    71.0000     0.0000     0.0000     0.0000
   135.0000    78.1100   -72.7500    73.5500     0.0000     0.0000     0.0000
   140.0000    78.5100   -74.5300    73.8300     0.0000     0.0000     0.0000
   145.0000    81.0700   -79.1600    74.7600     0.0000     0.0000     0.0000
   150.0000    83.1600   -81.9800    76.9300     0.0000     0.0000     0.0000
   155.0000    85.9200   -82.5600    74.0000     0.0000     0.0000     0.0000
   160.0000    90.1200   -83.9600    71.4800     0.0000     0.0000     0.0000
   165.0000    94.2900   -89.2200    72.2000     0.0000     0.0000     0.0000
   170.0000    91.3500   -92.9500    71.8500     0.0000     0.0000     0.0000
   175.0000    93.1500   -95.7300    73.1600     0.0000     0.0000     0.0000
   180.0000    94.7600   -97.2100    73.4300     0.0000     0.0000     0.0000
   185.0000    94.0300   -97.7100    73.0200     0.0000     0.0000     0.0000
   190.0000    94.9400   -99.7600    72.7200     0.0000     0.0000     0.0000
   195.0000    95.2500  -102.2700    76.2700     0.0000     0.0000     0.0000
   200.0000    97.4600  -103.9300    76.1500     0.0000     0.0000     0.0000
   205.0000    97.2800  -105.0300    74.9400     0.0000     0.0000     0.0000
   210.0000    98.1200  -110.3900    77.1800     0.0000     0.0000     0.0000
   215.0000    99.3900  -111.7700    80.1700     0.0000     0.0000     0.0000
   220.0000   102.7200  -117.5600    80.4900     0.0000     0.0000     0.0000
   225.0000   104.7000  -120.3300    79.8200     0.0000     0.0000     0.0000
   230.0000   108.8500  -128.7500    84.2400     0.0000     0.0000     0.0000
   235.0000   111.9100  -134.3400    86.6900     0.0000     0.0000     0.0000
   240.0000   114.7800  -143.8600    85.5600     0.0000     0.0000     0.0000
   245.0000   119.4100  -157.5700    86.2200     0.0000     0.0000     0.0000
   250.0000   116.1600  -168.7900    89.5400     0.0000     0.0000     0.0000
   255.0000   121.1200  -181.6600    86.1700     0.0000     0.0000     0.0000
   260.0000   121.5000  -198.8200    81.7500     0.0000     0.0000     0.0000
   265.0000   123.5100  -227.3800    71.1600     0.0000     0.0000     0.0000
   270.0000   121.2700  -259.1600    52.9800     0.0000     0.0000     0.0000
