#         t          x          y          z         vx         vy         vz
     0.0000   375.2300  -608.0200   283.0600   -71.3400    77.5200   -53.0500
     5.0000   369.8200  -602.7000   279.7500   -75.3300    86.3900   -56.6200
    10.0000   364.3700  -597.0700   275.9700   -76.1100    86.7700   -55.0700
    15.0000   358.7100  -591.3600   272.2100   -73.6900    86.6900   -55.4500
    20.0000   353.4500  -585.8400   268.9100   -75.8800    89.7400   -52.7200
    25.0000   348.0100  -579.8100   265.4200   -78.0000    91.4300   -49.5100
    30.0000   342.9200  -573.5500   261.9900   -77.7300    94.2300   -47.4900
    35.0000   337.9600  -567.1000   258.6700   -73.1800    93.3700   -44.9600
    40.0000   333.0600  -560.5900   255.2300   -70.8800    89.2400   -43.6100
    45.0000   328.1700  -554.0700   251.9300   -71.8100    89.1600   -45.0900
    50.0000   323.8700  -547.7100   248.5400   -67.4100    88.8000   -43.4000
    55.0000   319.6200  -541.3100   244.9400   -62.5100    90.0100   -48.9600
    60.0000   315.3800  -534.9100   241.2300   -57.4500    82.7200   -50.1300
    65.0000   311.3900  -528.7200   237.6200   -56.9500    81.5600   -46.5800
    70.0000   307.4000  -522.7600   233.9000   -52.2700    79.3100   -49.5200
    75.0000   304.0600  -516.9200   230.0400   -46.5000    74.3200   -54.1900
    80.0000   300.4700  -510.9100   225.6600   -49.6400    77.3100   -57.9100
    85.0000   296.7000  -505.2500   221.1000   -54.9000    75.3500   -63.8200
    90.0000   292.6300  -499.5900   216.3800   -55.9400    74.5900   -68.5000
    95.0000   288.1500  -494.1700   211.4300   -63.4200    76.9400   -69.8100
   100.0000   283.2300  -488.3900   206.0700   -64.6500    75.4700   -75.4400
   105.0000   278.2100  -482.4200   200.5400   -70.2400    83.8100   -77.3800
   110.0000   273.2900  -476.2300   194.8900   -68.7700    86.1700   -79.0400
   115.0000   268.1500  -470.1400   189.6900   -76.4200    89.8300   -78.2000
   120.0000   262.4600  -463.6700   184.2100   -81.7300    95.0100   -80.9900
   125.0000   256.2400  -457.0200   178.3700   -88.3400    94.4500   -84.5800
   130.0000   249.7000  -450.2800   172.4600   -95.4800   100.0500   -86.1800
   135.0000   242.6800  -442.8500   166.4700  -102.6300   102.6900   -88.5800
   140.0000   235.5400  -435.0400   160.2900  -100.9000   109.4200   -89.1100
   145.0000   228.2900  -427.0200   154.0500  -102.9600   118.8000   -91.3100
   150.0000   220.9300  -418.5900   147.6500  -100.6100   122.4800   -92.4700
   155.0000   213.6700  -409.9700   141.3000  -104.4700   121.6000   -93.0700
   160.0000   205.9800  -401.3700   134.7300  -113.2400   122.6000   -90.6700
   165.0000   197.6800  -392.3700   128.3400  -118.8800   133.2400   -91.4600
   170.0000   189.6300  -382.7600   121.7000  -115.3700   137.0800   -91.3300
   175.0000   181.6000  -373.1200   115.0500  -117.7800   145.6700   -93.3500
   180.0000   173.3800  -362.6400   108.2100  -119.9800   152.0800   -95.3700
   185.0000   164.9500  -351.8900   101.6100  -120.2200   152.2100   -92.4000
   190.0000   156.3600  -340.7600    94.6500  -121.3400   155.3000   -94.8500
   195.0000   147.7800  -329.4600    87.4400  -123.4800   160.2700  -100.3700
   200.0000   139.2300  -317.9400    80.1000  -129.4600   166.7200  -100.0300
   205.0000   130.3300  -306.0200    72.6800  -129.2600   170.7600  -102.8500
   210.0000   121.3300  -293.1800    64.9700  -130.0300   182.9600  -105.5300
   215.0000   112.2600  -279.5500    57.0700  -133.6500   191.1700  -108.2300
   220.0000   102.7100  -265.1000    48.9400  -137.3700   198.6300  -110.8200
   225.0000    93.1100  -250.2500    40.7000  -141.3600   203.5800  -110.0700
   230.0000    82.9400  -234.8600    32.5700  -148.6000   217.9600  -114.7000
   235.0000    72.1600  -218.2500    23.8300  -154.9000   231.2500  -118.2800
   240.0000    60.8100  -200.6300    15.2900  -157.2700   254.3400  -116.0200
   245.0000    49.1800  -181.3400     6.8100  -159.2800   278.0900  -116.4400
   250.0000    37.4800  -160.3300    -1.6400  -158.1700   301.6700  -117.6600
   255.0000    25.6800  -137.6800    -9.8600  -164.2600   331.2100  -113.8300
   260.0000    13.6700  -112.3300   -17.7300  -164.1800   370.3100  -102.8300
   265.0000     1.5900   -84.3300   -24.1500  -166.8000   419.2200   -82.0000
   270.0000   -10.4100   -52.3600   -28.7100  -157.8700   486.8400   -42.6200
   275.0000   -20.4500   -14.7200   -28.9000  -101.4100   564.8100    43.2300
   280.0000   -23.4300    25.1900   -20.4100    12.8900   532.3100   182.0300
   285.0000   -19.5400    58.6000    -5.0600    73.1200   415.1600   217.0100
   290.0000   -13.8400    84.0900     9.6800    64.3200   311.5100   188.0000
   295.0000    -9.1800   103.7400    21.6800    48.6000   248.7700   145.2900
   300.0000    -5.6400   119.6800    30.7900    40.2000   201.2200   111.7600
   305.0000    -2.4700   132.5200    37.4200    37.4700   160.2000    85.5100
   310.0000     0.9400   142.8200    42.9000    40.1100   126.0600    67.4500
   315.0000     3.7600   150.4900    47.1600    35.9000    91.9600    52.4700
   320.0000     6.5700   156.0400    50.7600    34.6300    61.8300    45.2700
   325.0000     9.2300   159.4900    53.6000    33.7600    37.8000    35.3400
   330.0000    12.1300   161.5700    55.5200    34.1000    14.7800    25.9100
   335.0000    14.8600   161.8300    57.2800    35.3300    -7.7700    19.7900
   340.0000    17.6000   160.2600    58.1800    30.5400   -30.2500    15.5400
   345.0000    19.6600   158.0300    59.3300    26.4500   -49.9700    10.2500
