#         t          m          x          y          z         vx         vy         vz
   515.0000     0.0001    12.5986   221.8460   -47.1662    81.7950   175.9470    15.8395
   515.0000     0.0001    14.7436   201.2240   -27.3150    76.1472   121.0170   103.2280
   515.0000     0.0001    21.0789   217.0360    -5.2811    93.3363   113.5980   103.7460
   515.0000     0.0001    -0.3029   204.1980   -38.6969    48.8642   161.5230    48.7275
   515.0000     0.0001    76.9539   145.9300    68.6385    36.2755  -261.8650   116.3600
   515.0000     0.0001    -0.9067   208.1660   -38.2571    46.9523   173.7170    44.2119
   515.0000     0.0001    13.8688   183.3140   -43.7388    53.3757   -15.7266   132.3960
   515.0000     0.0001    66.7389   153.9960    47.2956    86.8964  -185.7200   210.0420
   515.0000     0.0001    25.9130   244.9450   -40.7240    61.5751   209.7870    28.4912
   515.0000     0.0001   109.2950    84.3662    56.9262   239.6840  -142.8740     2.8393
   515.0000     0.0001    32.9936   175.6280    13.8745    45.2412    -0.4880   144.1190
   515.0000     0.0001    17.3291   210.3100   -25.3665    47.7957   102.8080    89.0274
   515.0000     0.0001    33.1772   184.4340    18.3461   100.3590   -50.8281   133.7890
   515.0000     0.0001   226.6960   286.2450   123.6810   143.2030  -143.8910    51.9628
   515.0000     0.0001     2.3441   221.9370   -41.5686    53.0752   177.8480    28.3010
   515.0000     0.0001     5.8938    97.3483   -35.9373   -60.2680   190.2020   -67.1834
   515.0000     0.0001    38.3063   166.3990    17.1472    95.8045   -50.9874   144.8310
   515.0000     0.0001   101.9390   -31.8440   158.2250   -75.2889   -64.8362   -86.4831
   515.0000     0.0001    20.3629   195.8360   -25.5640    66.9943   158.0580   121.8940
   515.0000     0.0001   126.0840    -8.7218   157.6620   -71.7065   -60.5953   -99.9896
   515.0000     0.0001    56.6028   175.4180    21.5535    68.3502   -17.5568   178.3800
   515.0000     0.0001    40.8979   194.2960    45.3408   119.8310   -82.8910   132.3900
   515.0000     0.0001   -39.1866   132.9810   -97.9318   -37.7681   144.9500  -105.6690
   515.0000     0.0001    20.5772   219.1430   -42.5810    83.2297   157.7060    46.6704
   515.0000     0.0001   -10.5368   179.7590   -62.3107    12.7882   191.5020   -49.3994
   515.0000     0.0001     7.6860   110.0950   -16.0372     1.4958   238.9330   -83.5573
   515.0000     0.0001    74.1701   153.4950    55.7021   147.2890  -183.9590   166.5680
   515.0000     0.0001    26.6031   114.1000    -9.1233    50.1615   265.7100  -116.3140
   515.0000     0.0001    32.6906   215.3270   -25.0077   104.5290   111.3110    74.9585
   515.0000     0.0001    40.0623   170.1830    24.4045   116.2220   -63.6366   142.9330
   515.0000     0.0001     5.9664   132.4990   -33.0256    -3.6238   222.3010   -49.1397
   515.0000     0.0001    37.1026   175.1620     6.0949    83.9100    43.2246   130.9100
   515.0000     0.0001    54.0459   161.2310    62.9897   179.8310  -154.0730   149.7260
   515.0000     0.0001    10.3192   201.7480   -94.0005    50.5040   182.2520   -83.5735
   515.0000     0.0001    25.2648   202.9610   -29.9325    33.7221   107.2240    84.8571
   515.0000     0.0001    19.7180   206.5770   -25.8757    77.3945   148.2390   105.3940
   515.0000     0.0001    36.5991   202.8480   -44.8192    55.0776   202.2050    29.4154
   515.0000     0.0001    69.6856   183.7040    45.8609   145.9440   -43.4152   155.9670
   515.0000     0.0001    77.6634   149.1400    70.8477    35.9690  -242.6430   119.4200
   515.0000     0.0001    51.2553   183.9460     8.6020    71.4905     1.0165   116.0160
   515.0000     0.0001    66.5117   166.0240    39.3466    70.6071  -133.4690   206.1500
   515.0000     0.0001    70.3705     9.6638    81.6245  -110.4600    31.9356  -169.3870
   515.0000     0.0001     8.9693   220.0920   -25.4608    71.6863   157.5550    66.4844
   515.0000     0.0001   139.6770    -7.1509   185.1150   -56.0775   -74.2041   -77.2262
   515.0000     0.0001   280.1550     7.7353   209.3900     6.4947  -130.6880    26.0287
   515.0000     0.0001    23.2771   209.6770   -36.1464    98.5234   181.0350    64.8447
   515.0000     0.0001    20.0734   131.2650   -13.1318    82.6033   253.8870   -71.0899
   515.0000     0.0001    -6.4126   207.1680   -64.3988    38.6030   197.0110   -20.8358
   515.0000     0.0001    13.6992   210.4390   -23.8543    89.6926   133.6510    80.7187
   515.0000     0.0001    19.9103   209.9190   -39.7117    64.3432   128.5610    46.1292
   515.0000     0.0001    33.2786   218.1170   -20.4335   125.2660   130.1350    93.9001
   515.0000     0.0001    53.7432   165.5380    43.3515    90.9381  -128.9060   182.2260
   515.0000     0.0001   181.7040    21.0063   221.2060   -28.5476  -104.4080   -45.0575
   515.0000     0.0001     5.9725   205.6950   -27.1333    69.5285   156.5690    69.7263
   515.0000     0.0001    48.6176   122.6130    35.6235  -168.1770  -170.9760  -334.4840
   515.0000     0.0001    61.9752   143.2320    50.7174   171.7880  -198.9530   237.4770
   515.0000     0.0001    69.4599   146.5830    65.7278    83.5232  -257.7440   158.5890
   515.0000     0.0001    16.3977   173.5740    53.0130   189.0580  -137.6610   106.7910
   515.0000     0.0001   -13.6208   220.2670   -45.8734    -5.7922   179.4420    30.3615
   515.0000     0.0001    36.5070   229.5950   -17.9422    98.1885   143.1550    77.2232
   515.0000     0.0001    18.7752    67.9950    13.7485   -15.0568   208.1540  -188.4910
   515.0000     0.0001    18.3084   230.6010   -66.5687    14.7569   205.6640   -11.1237
   515.0000     0.0001   -11.4486   205.9360   -64.6517     2.4841   163.0250    -2.2918
   515.0000     0.0001    27.0538   218.0700     8.9460    91.7888    95.4632    78.8808
   515.0000     0.0001    18.6983   121.8960   -12.2117   -52.2311   261.1810   -31.1095
   515.0000     0.0001    35.0276   168.2410    35.8376   131.6160   -89.7928   173.5390
   515.0000     0.0001    45.3744   175.7650    18.5705   102.8530   -72.7338   133.3210
   515.0000     0.0001    50.3209   204.3320    39.9170   114.4500   -80.0971   147.5310
   515.0000     0.0001   -20.7879   199.2940   -48.3526     6.6102   182.1960    16.2519
   515.0000     0.0001    68.2229   -21.2008   109.8010   -60.8515     3.0037  -143.2840
   515.0000     0.0001    20.2678   211.8800   -30.3143   102.7990   163.5030    70.9004
   515.0000     0.0001    54.2635   179.0330    57.8088   104.5400  -171.3000   100.9750
   515.0000     0.0001     2.9656   187.6760   -24.2841    78.5225   -19.8984   132.9800
   515.0000     0.0001    69.3525   155.9800    40.3089    79.8095  -145.1620   230.9760
   515.0000     0.0001   -26.2325   209.8090   -59.4278   -13.6386   201.5700   -34.5765
   515.0000     0.0001    43.4175   169.1900    29.7971    90.0558   -34.1329   185.4970
   515.0000     0.0001    31.8487   211.8840   -26.5839   112.4850   171.0090   106.2000
   515.0000     0.0001   -23.1596   205.0460   -47.2897   -10.2384   181.9460    19.3186
   515.0000     0.0001    31.4589   211.4030   -33.0787    43.6976   216.5270    67.1083
   515.0000     0.0001    28.1747   202.9610   -27.8837    92.9316    94.5210    49.7108
   515.0000     0.0001    74.2031   146.5820    48.1483    79.4267  -188.6090   246.3840
   515.0000     0.0001    21.7779   208.4230   -31.6289    34.6491   117.5620    94.6358
   515.0000     0.0001   129.1730    72.5975   111.6860   -43.0939    87.3894   -12.9539
   515.0000     0.0001     0.7746   213.8620   -37.4258    47.2672   178.8900    46.3338
   515.0000     0.0001    80.7327   123.2980    75.1469    -2.3057  -287.1180    79.1989
   515.0000     0.0001   104.7480     6.4667    94.2295  -114.6510   -11.0412  -145.4880
   515.0000     0.0001    76.6892   141.3520    58.4639    88.3515  -277.3630   167.3340
   515.0000     0.0001   265.5490   305.9150   130.4130   136.9160  -118.9140    41.9493
   515.0000     0.0001    60.3055   152.7120    44.6907  -161.3880   -39.4092  -257.2100
   515.0000     0.0001    90.6918    12.3201    90.5801  -119.5850    -6.1869  -163.1530
   515.0000     0.0001   100.2930    39.2870    67.6282  -156.1700   -42.9531   -77.4119
   515.0000     0.0001    32.4187   216.2120   -30.2482    63.7904   108.7040    86.2099
   515.0000     0.0001    42.6060   187.8590    44.8413   129.9000  -160.6660   128.3810
   515.0000     0.0001    60.2966   162.5180    51.2322    87.3283  -162.9370   186.4210
   515.0000     0.0001   144.6690    95.3813   112.3830   -58.7163   111.7370    -7.2411
   515.0000     0.0001    45.9310   198.3930    41.4801    91.3873  -107.1170   144.7220
   515.0000     0.0001   165.4020    89.3427    81.7566   -57.0633    49.0304    49.6753
   515.0000     0.0001    79.1013   133.6340    64.1260    42.3137  -248.0070   215.9260
   515.0000     0.0001    54.6886   182.7010     1.2155    73.2255     8.5143   106.4790
   515.0000     0.0001    -5.9731   202.9790   -78.0622    40.6848   150.5200   -36.3202
   515.0000     0.0001     0.1901   224.2070   -42.0949    43.3715   186.0190    31.6009
   515.0000     0.0001   -19.5126   219.8570   -92.0019    -0.9448   200.8330   -81.2857
   515.0000     0.0001   -14.5013   173.7820   -75.8664    -2.0675   185.0070   -70.1361
   515.0000     0.0001    40.4442    11.5323    63.2197   -91.4817    60.5995  -184.9500
   515.0000     0.0001    13.9565   226.1680   -33.2513    71.1339   168.3550    55.4403
   515.0000     0.0001   164.7630   -36.5788   246.7390    -6.2747   -97.1076   -30.6980
   515.0000     0.0001    11.9716   215.4370   -14.8682    79.8851   150.8450    93.8998
   515.0000     0.0001     7.2298   149.3400   -16.7581   109.1670   -66.3976   192.1030
   515.0000     0.0001   188.3780   -18.2460   254.0080    -2.5932  -102.1690   -21.7791
   515.0000     0.0001    -7.4108   211.1020   -47.1430    28.8303   165.0930    30.4770
   515.0000     0.0001   -30.0626   100.9000   -13.4899   156.8750    -4.2640   164.7820
   515.0000     0.0001    32.8165   223.2660   -25.3275   107.4640   131.4400    70.0185
   515.0000     0.0001    52.0869   123.3750    51.0949   379.0250  -237.4070   302.1770
   515.0000     0.0001   -17.7483   206.4300   -66.4152    17.2067   182.7660   -22.7806
   515.0000     0.0001    29.8704    58.4548    23.4446   -85.8546   194.8840  -188.7730
   515.0000     0.0001   190.7810    36.1973   228.0560   -26.9830   -93.3966   -34.3891
   515.0000     0.0001   -24.6780   226.6730   -67.8202    -9.9659   207.5750   -36.9647
   515.0000     0.0001    43.5179   167.7160     9.0565   110.8400   -37.6736   133.0340
   515.0000     0.0001    35.0442   198.7500   -32.1505   108.7950    80.0286    85.1742
   515.0000     0.0001    30.4205   169.6300    23.3202   176.2460  -129.3810   193.3490
   515.0000     0.0001    42.2749    19.4764    72.4477   -86.2218    55.9826  -201.0880
   515.0000     0.0001    20.1881   216.2670   -15.2747   110.3440   145.9440    97.5768
   515.0000     0.0001    50.1879   165.8470    36.2756   111.9330  -110.4770   168.2660
   515.0000     0.0001    35.3447   222.4930   -13.8359   126.9340   157.2210    92.6663
   515.0000     0.0001    56.2160   151.1780    33.5227   150.3890  -142.9810   211.0130
   515.0000     0.0001    28.2431   220.1650    -6.2547    87.3545    95.5780    88.7643
   515.0000     0.0001   148.9590     2.0968   176.3010   -55.2515   -80.5985   -87.1230
   515.0000     0.0001   234.3100   -34.4444   200.8330   -18.2704  -110.7270    -5.8638
   515.0000     0.0001    15.4677   183.0620   -34.3493   105.2930   197.3400     8.5524
   515.0000     0.0001   139.9330    18.0412   144.2780   -59.2287   -69.1413  -126.7880
   515.0000     0.0001    10.6899   201.5240   -15.2533    55.1483    81.4837    94.3773
   515.0000     0.0001    61.0211   167.7810    47.9059    86.6664  -148.8930   168.5010
   515.0000     0.0001   145.0310    -9.4443    84.3370     8.8973    15.4386    33.3834
   515.0000     0.0001    54.5647    99.6046   -21.0857   -22.7897  -167.8830   -18.0295
   515.0000     0.0001   153.8390   -22.2081   167.8670   -62.4292   -74.2874   -64.6034
   515.0000     0.0001    36.4051   170.7510    16.0991    58.5448     5.6284   182.6060
   515.0000     0.0001   230.1230   -21.5690   206.5450   -24.8340  -125.5540     4.8113
   515.0000     0.0001    35.5185   176.5570   -11.8857    80.9187    36.1999    69.9760
   515.0000     0.0001    -6.5991   164.1860   -47.8286    10.2745   199.8660   -34.8045
   515.0000     0.0001   142.2400    -9.5277   194.7950   -50.9465   -82.9207   -70.4652
